brand type,km,ownerno,oem,model,modelyear,price,registration year,insurance validity,fuel type,seats,transmission,year of manufacture,displacement,no of cylinder,values per cylinder,turbo charger,super charger,length,width,height,gear box,drive type,steering type,turning radius,tyre type,no door numbers,city
sedan,70887,2,hyundai,hyundai xcent,2016,458000,2016,third party,petrol,5,manual,2016,1197,4,4,no,no,3995,1660,1520,5,fwd,power,4.7,tubeless,4,chennai
sedan,114981,2,honda,honda city,2016,577000,2016,comprehensive,petrol,5,manual,2016,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
suv,45000,1,honda,honda wr-v,2018,900000,2018,comprehensive,petrol,5,manual,2018,1199,4,4,no,no,3999,1734,1601,5,fwd,electric,5.3,tubeless radial,5,chennai
hatchback,45416,1,hyundai,hyundai grand i10 nios,2021,649000,2021,comprehensive,petrol,5,manual,2021,1197,4,4,no,no,3805,1680,1520,5,fwd,electric,5.01,tubeless radial,5,chennai
hatchback,119468,1,hyundai,hyundai i20,2016,549000,2016,third party,petrol,5,manual,2016,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
sedan,100000,3,volkswagen,volkswagen vento,2015,650000,2015,third party,diesel,5,automatic,2015,1498,4,4,yes,no,4384,1699,1466,7,fwd,power,5.4,tubeless radial,4,chennai
sedan,119975,1,maruti,maruti swift dzire,2017,513999,2017,third party,petrol,5,manual,2017,1197,4,4,no,no,3995,1735,1515,5,fwd,electric,4.8,tubeless radial,4,chennai
sedan,19000,1,bmw,bmw 3 series,2017,3900000,2017,comprehensive,petrol,5,automatic,2017,1998,4,4,yes,no,4824,1811,1429,8,rwd,power,5.5,tubeless radial,4,chennai
hatchback,64906,2,hyundai,hyundai grand i10,2016,455999,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
hatchback,81484,2,maruti,maruti baleno,2016,501999,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
sedan,45067,1,maruti,maruti swift dzire,2018,685000,2018,comprehensive,petrol,5,manual,2018,1197,4,4,no,no,3995,1735,1515,5,fwd,power,4.8,tubeless radial,4,chennai
sedan,68000,1,mercedes-benz,mercedes-benz s-class,2018,11000000,2018,third party,petrol,4,automatic,2018,4663,8,4,yes,no,5453,2130,1498,9,rwd,power,6.45,tubeless radial,4,chennai
hatchback,65768,1,honda,honda jazz,2016,580000,2016,comprehensive,petrol,5,manual,2016,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
hatchback,61000,2,honda,honda jazz,2016,530000,2016,comprehensive,petrol,5,manual,2016,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
sedan,50000,3,mercedes-benz,mercedes-benz s-class,2009,1700000,2009,comprehensive,diesel,5,automatic,2009,2987,6,4,yes,no,5206,1871,1473,7,rwd,power,6.1,tubeless radial,4,chennai
sedan,23000,1,bmw,bmw 5 series,2018,4375000,2018,comprehensive,diesel,5,automatic,2018,1995,4,4,yes,no,4907,2102,1464,8,rwd,power,5.6,tubeless radial,4,chennai
sedan,17000,1,bmw,bmw 7 series,2018,8200000,2019,comprehensive,diesel,5,automatic,2018,2993,6,4,yes,no,5219,2142,1481,8,rwd,power,6.25,tubeless radial,4,chennai
hatchback,102958,1,maruti,maruti celerio,2017,420000,2017,comprehensive,petrol,5,automatic,2017,998,3,4,no,no,3715,1635,1565,5,fwd,power,4.7,tubeless radial,5,chennai
sedan,62900,1,toyota,toyota corolla altis,2013,775000,2013,comprehensive,diesel,5,manual,2013,1364,4,4,yes,no,4620,1776,1475,6,fwd,power,5.3,tubeless radial,4,chennai
hatchback,65076,2,maruti,maruti wagon r,2015,395000,2015,comprehensive,petrol,5,manual,2015,998,3,4,no,no,3599,1495,1700,5,fwd,power,4.6,tubeless,5,chennai
hatchback,75876,1,maruti,maruti baleno,2016,533000,2017,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
hatchback,98911,1,hyundai,hyundai i20,2015,547000,2015,third party,petrol,5,manual,2015,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless,5,chennai
hatchback,45000,1,maruti,maruti celerio,2015,395000,2015,comprehensive,petrol,5,manual,2015,998,3,4,no,no,3715,1635,1565,5,fwd,power,4.7,tubeless radial,5,chennai
sedan,76089,1,hyundai,hyundai verna,2017,908000,2017,third party,diesel,5,automatic,2017,1582,4,4,yes,no,4375,1700,1475,4,fwd,power,5.2,tubeless,4,chennai
hatchback,54505,2,hyundai,hyundai grand i10,2017,521000,2017,third party,petrol,5,manual,2017,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,chennai
sedan,24000,1,audi,audi a3,2019,2290000,2020,third party,diesel,5,automatic,2019,1968,4,4,yes,no,4458,1796,1416,6,fwd,power,5.35,tubeless radial,4,chennai
